t_s,TimeUS,mode,armed,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
0.000,526365678,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.039,526404767,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.080,526444934,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.119,526484716,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.159,526524761,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.200,526564908,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.240,526605175,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.280,526645162,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.320,526684954,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.360,526724935,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.400,526765044,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.440,526805075,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.479,526844700,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.519,526884741,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.560,526924958,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.600,526965181,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.640,527005092,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.680,527044903,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.719,527084724,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.759,527124728,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.800,527165016,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.839,527204624,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.879,527244674,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.920,527284864,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
0.960,527324865,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.000,527364977,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.039,527404600,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.079,527444626,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.120,527484851,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.160,527524844,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.200,527564965,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.240,527604879,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.280,527644845,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
1.319,527684650,17,1,1500,1500,989,1500,2000,2000,999,1500,999,999,2000,2000,880,880
